iteration,chain,m,s,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-0.20544336516256334,1.1968247206019655,-158.61976661141242,3.0,1.0,0.6216638837196471,-158.61976661141242,160.02350585169017,-0.12440148050583844,0.9283221982018404,2.0,0.0,1.4803269636354255,1.4803269636354255
502,1,-0.3441411910481143,1.0953147747620988,-161.01372365670062,3.0,1.0,0.3662682270456554,-161.01372365670062,161.46318864575116,1.5001743105283651,1.5001743105283651,2.0,0.0,1.4803269636354255,1.4803269636354255
503,1,0.09368849963436086,1.2540947714964124,-159.72926454085567,7.0,1.0,0.9144922353965255,-159.72926454085567,160.69753456972728,-1.278984134512001,-1.278984134512001,2.0,0.0,1.4803269636354255,1.4803269636354255
504,1,0.039639609547055144,1.2994822898778988,-159.82642693369664,3.0,1.0,0.9904986542284485,-159.82642693369664,160.49578331762615,0.028918165926910433,-0.6648473851733456,1.0,0.0,1.4803269636354255,1.4803269636354255
505,1,-0.22086982641927924,1.07719599350262,-159.21591479173557,3.0,1.0,0.852233041840897,-159.21591479173557,160.37664353534637,-0.6192048469254985,-0.6192048469254985,2.0,0.0,1.4803269636354255,1.4803269636354255
506,1,0.11004295535583505,1.1624351295909632,-159.44415070283802,3.0,1.0,0.8548112082605166,-159.44415070283802,160.09863197784364,0.32865350471422516,0.32865350471422516,2.0,0.0,1.4803269636354255,1.4803269636354255
507,1,-0.259015063330369,1.1726211953215993,-159.09774398486263,3.0,1.0,1.0,-159.09774398486263,159.6246216810793,-0.3269797705876556,-0.37666948418177526,2.0,0.0,1.4803269636354255,1.4803269636354255
508,1,-0.361075705049834,1.3472776366300994,-162.33892328029796,1.0,1.0,0.3705303015882072,-162.33892328029796,162.58823841136982,0.9928200519270831,0.9928200519270831,1.0,0.0,1.4803269636354255,1.4803269636354255
509,1,0.16187353242223324,1.2500226120172064,-160.63742882247183,3.0,1.0,0.7679762954061274,-160.63742882247183,163.21074674878545,-1.0219370307916336,1.190961531854299,2.0,0.0,1.4803269636354255,1.4803269636354255
510,1,0.08845803205465531,1.2814076451057128,-160.0081264195773,1.0,1.0,1.0,-160.0081264195773,161.0892863561127,-0.26581724323378353,-0.26581724323378353,1.0,0.0,1.4803269636354255,1.4803269636354255
511,1,-0.10424058239251026,1.1115237474391393,-158.11334982147818,3.0,1.0,1.0,-158.11334982147818,159.27019960649955,-0.9521944805862859,-0.9521944805862859,2.0,0.0,1.4803269636354255,1.4803269636354255
512,1,0.025255352752521068,1.1171339853880369,-158.58149576281699,3.0,1.0,0.8347841356984379,-158.58149576281699,158.6647474393663,0.27809043776423437,0.27809043776423437,2.0,0.0,1.4803269636354255,1.4803269636354255
513,1,0.02656884258087558,1.1318102378222525,-158.51680513627358,3.0,1.0,0.9321859434079537,-158.51680513627358,158.83117270011493,-0.03517263370488877,0.10802122904968314,2.0,0.0,1.4803269636354255,1.4803269636354255
514,1,-0.12895648150002445,1.2474095595993433,-158.649667867248,3.0,1.0,0.4840917065242847,-158.649667867248,160.325170246125,0.05850393051861147,2.134802107866932,2.0,0.0,1.4803269636354255,1.4803269636354255
515,1,-0.12288473416796009,1.264817817016955,-158.8569312311559,1.0,1.0,0.9195457071092462,-158.8569312311559,159.12873225246,0.08387552751713656,0.08387552751713656,1.0,0.0,1.4803269636354255,1.4803269636354255
516,1,-0.15413172909331485,1.1876724466916073,-158.23303421327236,1.0,1.0,1.0,-158.23303421327236,158.68378065067472,-0.26458578237449615,-0.26458578237449615,1.0,0.0,1.4803269636354255,1.4803269636354255
517,1,-0.03062532622675215,1.1177608757925825,-158.19427773752957,3.0,1.0,1.0,-158.19427773752957,158.3033344299204,-0.03809379761204923,-0.05058293114660728,2.0,0.0,1.4803269636354255,1.4803269636354255
518,1,-0.15452436615176432,1.19720663699655,-158.28732661083046,31.0,1.0,0.9190368917339422,-158.28732661083046,158.44330428151343,0.03379435022546318,0.3366868321224672,4.0,0.0,1.4803269636354255,1.4803269636354255
519,1,-0.3772478125197756,1.1148374237349494,-161.50482531887764,3.0,1.0,0.482293144259575,-161.50482531887764,161.5828122732338,1.6177368889848935,1.6177368889848935,2.0,0.0,1.4803269636354255,1.4803269636354255
520,1,-0.19460897119666626,1.172162142848309,-158.4336830220713,3.0,1.0,0.9586576076893989,-158.4336830220713,160.37352123199008,-1.4433619101968418,-1.4433619101968418,2.0,0.0,1.4803269636354255,1.4803269636354255
521,1,-0.05752864062886154,1.0968066919094066,-158.25565245934192,3.0,1.0,1.0,-158.25565245934192,158.46709946228103,-0.13047256056535161,-0.13047256056535161,2.0,0.0,1.4803269636354255,1.4803269636354255
522,1,-0.12099390812976132,1.2096350170190515,-158.2549218113635,3.0,1.0,0.9936370397458587,-158.2549218113635,158.39475349617615,0.01475920842136702,-0.02735265332654535,2.0,0.0,1.4803269636354255,1.4803269636354255
523,1,-0.11540973255434755,1.1512228060443248,-158.00568765453517,7.0,1.0,0.5591359678833824,-158.00568765453517,159.31171886826897,-0.1845252842172158,1.599028522678367,2.0,0.0,1.4803269636354255,1.4803269636354255
524,1,-0.11540973255434755,1.1512228060443248,-158.00568765453517,1.0,1.0,0.6348292011968133,-158.00568765453517,158.41575884411372,0.0,0.45439929076277963,1.0,0.0,1.4803269636354255,1.4803269636354255
