# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 5
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1883.31,1,0.015625,1,1,0,3975.18,-0.654564,2.11918,0.641262,1.60455,0.841861,0.158139
-1883.31,0,14.3855,0,1,1,1886.1,-0.654564,2.11918,0.641262,1.60455,0.841861,0.158139
-1883.31,0,2.43117,0,1,1,1884.31,-0.654564,2.11918,0.641262,1.60455,0.841861,0.158139
-1883.31,0,0.239791,0,1,1,1883.6,-0.654564,2.11918,0.641262,1.60455,0.841861,0.158139
-1662.69,1,0.0186273,1,1,0,1843.26,-0.698618,2.15488,0.664666,1.96932,0.839259,0.160741
-1501.74,1,0.0257257,2,3,0,1629.48,-0.68451,2.19592,0.709324,2.53586,0.832176,0.167824
-1260.21,1,0.0404064,2,3,0,1482.67,-0.730127,2.3065,1.2232,4.93353,0.733202,0.266798
-1168.53,1,0.0687243,2,3,0,1241.73,-0.577225,2.33826,1.80841,4.24124,0.670543,0.329457
-1108.61,0.666667,0.122801,2,3,0,1151.43,-0.183867,2.44029,3.46958,4.09147,0.520308,0.479692
-1102.72,1,0.0789043,2,3,0,1108.27,-0.108019,2.53805,3.3455,3.71184,0.511593,0.488407
-1102.72,2.06179e-17,0.147521,2,4,1,1109.44,-0.108019,2.53805,3.3455,3.71184,0.511593,0.488407
-1087.53,1,0.0118438,5,31,0,1102.99,0.192874,2.73748,2.77232,3.81755,0.464057,0.535943
-1071.96,0.999815,0.0226899,4,31,0,1089.25,0.594531,3.54149,2.27932,3.65544,0.389822,0.610178
-1074.68,0.876484,0.0436108,4,19,0,1078.59,0.942856,3.60485,2.9774,3.74264,0.460589,0.539411
-1074.42,0.911624,0.0570329,4,15,0,1076.7,0.981487,3.46388,2.21612,3.9315,0.460489,0.539511
-1077.37,0.425658,0.0832679,4,31,0,1081.12,0.595152,4.10736,2.41741,3.30489,0.308702,0.691298
-1077.13,0.969755,0.0272052,4,15,0,1080.58,0.57788,4.00025,2.75734,3.80544,0.322492,0.677508
-1076.75,0.960491,0.0477311,4,31,0,1079.31,0.645982,3.46093,1.94858,4.21612,0.416924,0.583076
-1077.59,0.5306,0.0809159,3,7,0,1085.48,0.455192,3.39188,1.54477,4.23083,0.27568,0.72432
-1073.97,0.988847,0.0374203,4,15,0,1084.75,0.0374528,3.388,1.3988,3.79884,0.221875,0.778125
-1072.43,0.976493,0.0687987,3,7,0,1075.19,0.18476,3.23448,2.04833,3.69697,0.239467,0.760533
-1072.43,0.0397902,0.120857,1,3,1,1073.12,0.18476,3.23448,2.04833,3.69697,0.239467,0.760533
-1074.41,0.993902,0.0135092,5,31,0,1075.61,0.0148636,3.33494,2.52003,3.48564,0.225809,0.774191
-1074.6,0.99825,0.0251079,4,15,0,1075.95,0.156358,3.40313,2.45747,3.57349,0.216132,0.783868
-1076.02,0.948076,0.0467867,4,31,0,1078.46,-0.300608,2.70315,1.04548,3.49556,0.146806,0.853194
-1071.86,0.96923,0.0747754,5,47,0,1076.6,0.790151,4.99274,2.45132,3.05059,0.614197,0.385803
-1075.01,0.30499,0.125916,3,13,0,1075.93,0.751166,4.92335,2.18639,3.73939,0.525892,0.474108
-1074.86,0.979062,0.0325382,3,7,0,1076.95,0.863466,4.92602,2.88266,3.1888,0.523808,0.476192
-1072.05,0.906946,0.0562325,5,63,0,1077.73,0.853943,5.98114,2.51602,3.11816,0.633574,0.366426
-1071.76,0.87085,0.0789118,5,55,0,1073.98,0.752667,6.30764,2.50762,2.34055,0.69383,0.30617
-1074.74,0.0105555,0.0997538,2,7,0,1077.17,0.784379,6.41132,2.84301,2.74361,0.670092,0.329908
-1071.88,0.99796,0.0121419,7,175,0,1078.86,0.931192,4.98131,2.54848,3.13635,0.583343,0.416657
-1072.64,0.991678,0.0218652,7,255,0,1075,0.894758,6.97026,2.52196,2.19148,0.713262,0.286738
-1072.36,0.966887,0.0383489,5,55,0,1075.19,1.32195,7.15846,2.87148,2.64312,0.788718,0.211282
-1072.84,0.885013,0.0624101,2,7,0,1074.76,1.0986,7.21204,2.80939,2.44251,0.806895,0.193105
-1073.62,0.994012,0.0812559,3,7,0,1075.41,1.64881,7.17197,2.9194,2.42581,0.785737,0.214263
-1073.62,7.05681e-43,0.139989,1,1,0,1077.56,1.64881,7.17197,2.9194,2.42581,0.785737,0.214263
-1072.72,0.999048,0.0182475,5,31,0,1074.55,1.36768,7.04857,2.89875,2.58337,0.824487,0.175513
-1072.65,0.994386,0.0319375,6,127,0,1074.97,0.745036,4.06946,2.48122,3.8414,0.430189,0.569811
-1072.41,0.90484,0.0547596,3,11,0,1074.78,0.75817,4.03527,2.68234,3.68198,0.468478,0.531522
-1073.7,0.887582,0.0742409,4,31,0,1074.74,0.716931,3.62979,1.87187,3.65396,0.351963,0.648037
-1073.7,0.0239721,0.0959339,4,19,0,1076.67,0.716931,3.62979,1.87187,3.65396,0.351963,0.648037
-1074.01,0.999662,0.0143458,4,15,0,1074.75,0.746405,3.63985,1.86716,3.95419,0.330896,0.669104
-1071.7,0.998652,0.0246561,6,103,0,1075.54,0.127358,4.06959,2.30359,3.18531,0.429913,0.570087
-1071.86,0.98265,0.0419356,3,11,0,1072.97,0.228466,4.1761,2.21596,3.6012,0.382048,0.617952
-1071.18,0.934211,0.0680662,2,7,0,1077.25,0.150534,4.01379,2.2572,3.39468,0.419441,0.580559
-1071.42,0.683771,0.0975655,4,19,0,1072.85,0.581959,4.58861,2.31282,3.29668,0.486912,0.513088
-1071.57,0.929974,0.0761715,4,31,0,1073.59,0.143314,3.99664,2.17218,3.50988,0.422658,0.577342
-1071.57,0.00609799,0.107433,3,7,0,1078.84,0.143314,3.99664,2.17218,3.50988,0.422658,0.577342
-1071.6,0.996749,0.0168388,7,255,0,1073.17,0.579573,5.40802,2.25999,2.79293,0.574983,0.425017
# Adaptation terminated
# Step size = 0.047659
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1
-1073.42,0.993291,0.047659,5,31,0,1073.79,1.19786,5.51553,2.62014,3.4861,0.695753,0.304247
-1072,0.977556,0.047659,4,31,0,1074.72,0.93443,5.3034,2.63473,2.96847,0.667962,0.332038
-1071.34,0.993975,0.047659,4,15,0,1072.63,0.367281,5.58064,2.38212,2.9588,0.581718,0.418282
-1072.85,0.945533,0.047659,6,79,0,1073.79,0.923967,7.1188,2.67422,2.51837,0.734527,0.265473
-1072.39,0.961486,0.047659,2,5,0,1074.45,0.967421,7.07933,2.70612,2.36078,0.738842,0.261158
-1072.87,0.979151,0.047659,2,7,0,1074.67,1.208,6.98939,2.44381,2.08972,0.7573,0.2427
-1072,1,0.047659,2,7,0,1073.56,1.05834,7.11416,2.76629,2.34398,0.765403,0.234597
-1072.36,0.971692,0.047659,4,31,0,1073.92,1.17554,7.32537,2.82506,2.4444,0.781431,0.218569
-1074.47,0.823049,0.047659,2,7,0,1076.22,1.28192,7.20341,2.45387,2.59927,0.796597,0.203403
