# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1947.34,1,0.015625,2,3,0,2913.55,0.177534,0.386815,2.10316,0.368256,0.203861,0.796139
-1947.34,0,14.3855,0,1,1,1948.79,0.177534,0.386815,2.10316,0.368256,0.203861,0.796139
-1947.34,0,2.43117,0,1,1,1951.9,0.177534,0.386815,2.10316,0.368256,0.203861,0.796139
-1947.34,0,0.239791,0,1,1,1950.14,0.177534,0.386815,2.10316,0.368256,0.203861,0.796139
-1694.71,1,0.0186273,2,3,0,1900.62,0.209128,0.406902,2.70769,0.375275,0.207362,0.792638
-1571.93,1,0.0257257,2,3,0,1671.12,0.22017,0.429043,3.36839,0.385902,0.217905,0.782095
-1121.39,0.256496,0.0404064,5,39,1,1533.73,1.29232,1.14202,3.39466,15.942,0.900925,0.0990753
-1094.08,0.999971,0.00679262,7,127,0,1126.97,2.00886,0.540226,3.34623,12.794,0.953173,0.046827
-1088.61,0.999987,0.0118682,6,63,0,1094.75,2.4145,0.470201,3.31766,9.64289,0.949129,0.0508708
-1084.19,0.99768,0.0216028,6,63,0,1089.55,2.4914,0.517002,3.40105,5.63826,0.972792,0.0272077
-1083.31,0.964779,0.0400219,6,63,0,1085.35,2.56936,1.12312,3.72211,3.40928,0.976706,0.0232939
-1083.31,0.0284896,0.0677738,2,5,0,1086.26,2.56936,1.12312,3.72211,3.40928,0.976706,0.0232939
-1081.82,0.999951,0.00605921,8,319,0,1086.37,2.6626,-0.286409,3.68516,2.36415,0.971599,0.0284011
-1082.95,0.996943,0.0117192,8,255,0,1085.36,2.5989,-0.537964,3.54548,0.980967,0.988046,0.0119536
-1072.77,0.95086,0.0224741,7,223,0,1085.49,6.50611,1.09905,2.64033,2.86831,0.281912,0.718088
-1072.97,0.961152,0.0372718,3,7,0,1074.45,6.59629,1.06468,2.60382,2.34097,0.298006,0.701994
-1072.47,0.961543,0.0636136,3,7,0,1074.06,6.47396,0.957284,2.23097,2.53667,0.249137,0.750863
-1072.47,0.000499142,0.108162,1,3,0,1075.26,6.47396,0.957284,2.23097,2.53667,0.249137,0.750863
-1073.42,0.998835,0.00993336,6,63,0,1075.61,6.75884,0.672994,2.71175,2.54206,0.302413,0.697587
-1073.09,0.998587,0.0190891,6,127,0,1075.2,5.36539,1.2333,3.01565,2.69753,0.303688,0.696312
-1073.49,0.992464,0.0363306,6,79,0,1074.74,4.19609,-0.403946,3.43111,2.19212,0.655506,0.344494
-1072.41,0.912168,0.0672652,2,3,0,1074.95,4.16103,-0.28349,3.33911,2.17677,0.65618,0.34382
-1072.84,0.504529,0.0974892,4,19,0,1075.08,4.23433,0.0791383,3.30574,1.93649,0.623606,0.376394
-1072.28,0.987125,0.0429631,3,15,0,1079.33,4.1149,0.174088,3.30212,2.01672,0.624653,0.375347
-1076.44,0.497502,0.0771778,4,23,0,1078.22,3.72253,0.0615281,3.84345,2.62057,0.583808,0.416192
-1076.72,0.987241,0.0338985,4,15,0,1078.59,3.77368,-0.001262,2.9914,2.44469,0.565174,0.434826
-1079.01,0.985871,0.0604768,4,31,0,1083.68,3.92329,1.42878,4.45604,2.32627,0.576942,0.423058
