# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 6
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1164.7,1,0.03125,3,7,0,1328.8,0.227542,0.917358,3.51945,1.98188,0.837309,0.162691
-1164.7,0,14.3855,0,1,1,1165.38,0.227542,0.917358,3.51945,1.98188,0.837309,0.162691
-1164.7,0,2.43117,0,1,1,1170.78,0.227542,0.917358,3.51945,1.98188,0.837309,0.162691
-1164.7,0,0.239791,0,1,1,1166.82,0.227542,0.917358,3.51945,1.98188,0.837309,0.162691
-1144.07,1,0.0186273,2,3,0,1164.72,0.299651,0.906402,3.9207,1.90962,0.840614,0.159386
-1135.29,1,0.0257257,2,3,0,1144.16,0.363157,0.936061,4.3711,1.96069,0.848404,0.151596
-1112.4,0.751476,0.0404064,3,7,0,1139.26,0.93405,1.13513,4.02309,1.96853,0.792441,0.207559
-1081.36,0.985897,0.0317069,4,15,0,1113.75,2.19219,1.65497,4.02236,2.04958,0.803384,0.196616
-1071.32,0.977487,0.0537965,5,31,0,1084.9,5.6729,0.809696,2.87699,2.47317,0.320061,0.679939
-1070.84,0.722418,0.0918748,5,39,0,1071.93,5.56989,0.756761,3.04945,2.46829,0.383176,0.616824
-1072.7,0.899879,0.0714202,5,47,0,1074.11,7.55234,1.4094,1.97936,2.88353,0.152906,0.847094
-1072.7,0.00206788,0.0984621,3,9,0,1077.04,7.55234,1.4094,1.97936,2.88353,0.152906,0.847094
-1080.03,0.997062,0.00809094,7,255,0,1084.07,9.05956,2.25128,2.30287,3.50255,0.0386647,0.961335
-1078.6,0.988043,0.0154879,6,63,0,1082.12,9.39391,2.12019,1.35313,3.01323,0.05692,0.94308
-1078.48,0.996146,0.0288443,5,31,0,1079.52,9.61684,2.12297,1.76072,3.37108,0.069381,0.930619
-1073.8,0.972665,0.0549556,4,31,0,1080.38,8.33798,1.76205,1.93128,2.83761,0.108969,0.891031
-1073.46,0.192541,0.0969168,2,5,0,1077.2,8.34787,1.61164,1.95469,2.7567,0.127348,0.872652
-1074.57,0.982977,0.015688,5,31,0,1076.39,8.73026,1.60756,1.77067,3.03222,0.12983,0.87017
-1074.95,0.917921,0.0287172,5,63,0,1078.41,8.37753,1.48799,1.6516,3.03544,0.149499,0.850501
-1074.41,0.9724,0.0429035,4,15,0,1076.94,8.43221,1.44441,2.10585,2.98116,0.136238,0.863762
-1072.94,0.19392,0.0750209,3,15,0,1077.02,8.05924,1.41856,1.96628,2.7285,0.14167,0.85833
-1072.9,0.999716,0.013024,6,95,0,1074.55,7.93673,1.43298,1.74488,2.83923,0.151248,0.848752
-1075.75,0.933704,0.0247399,4,23,0,1079.71,7.81151,1.4507,1.77359,2.61738,0.128013,0.871987
-1074.82,0.996836,0.0384019,5,63,0,1079.8,6.47566,0.797407,2.17273,2.70329,0.245869,0.754131
-1072.1,1,0.0710102,2,7,0,1075.06,6.53547,0.861231,2.3204,2.42244,0.259487,0.740513
-1072.1,0.100293,0.131171,2,5,0,1079.88,6.53547,0.861231,2.3204,2.42244,0.259487,0.740513
-1072.83,0.982175,0.0187524,4,15,0,1074.58,6.53113,0.803071,2.76371,2.74144,0.277414,0.722586
