# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 9
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1292.36,1,0.0625,2,3,0,1396.62,-0.993424,1.01558,5.25698,0.531274,0.486929,0.513071
-1292.36,0,14.3855,0,1,1,1295.81,-0.993424,1.01558,5.25698,0.531274,0.486929,0.513071
-1292.36,0,2.43117,0,1,1,1293.49,-0.993424,1.01558,5.25698,0.531274,0.486929,0.513071
-1292.36,0,0.239791,1,2,1,1296.23,-0.993424,1.01558,5.25698,0.531274,0.486929,0.513071
-1223.71,1,0.0186273,3,7,0,1295.18,-0.849087,1.00067,5.78094,0.824869,0.554032,0.445968
-1212.39,1,0.0257257,2,3,0,1224.83,-0.788198,1.05947,5.51607,0.874485,0.571889,0.428111
-1210.23,0.787774,0.0404064,2,3,0,1216.52,-0.754628,1.10172,6.07732,0.900476,0.569898,0.430102
-1159.34,0.948938,0.0354994,3,7,0,1213.65,-0.558896,1.24788,5.36998,1.77685,0.702278,0.297722
-1154.45,0.994692,0.0536848,2,3,0,1160.53,-0.435761,1.27058,5.21321,1.83732,0.700872,0.299128
-1154.45,0.00699945,0.0968021,2,3,0,1156.33,-0.435761,1.27058,5.21321,1.83732,0.700872,0.299128
-1149.3,1,0.00783455,5,31,0,1155.31,-0.341275,1.35927,5.24121,1.87616,0.687948,0.312052
-1096.12,0.99936,0.0148559,5,31,0,1150.03,0.92404,2.13273,4.17207,3.37946,0.545009,0.454991
-1080.83,1,0.0283837,4,15,0,1096.99,1.64094,2.62512,2.75435,4.48386,0.55482,0.44518
-1077.6,0.964895,0.0545323,3,15,0,1081.76,1.9491,2.82309,3.3653,3.8712,0.513883,0.486117
-1079.05,0.557707,0.0938367,3,7,0,1079.55,1.93822,2.58403,2.84689,3.8161,0.506332,0.493668
-1077.58,1,0.0456169,5,63,0,1079.89,2.97499,2.21463,4.06195,3.1056,0.372553,0.627447
-1076.98,0.369158,0.0876194,4,31,0,1079.64,3.91833,1.87891,3.87297,2.89102,0.311699,0.688301
-1075.7,0.997594,0.024342,5,63,0,1079.1,4.21816,1.58603,3.55906,2.72378,0.420234,0.579766
-1076.03,0.906248,0.0464183,2,7,0,1079.31,4.10842,1.47173,3.96169,2.48402,0.408732,0.591268
-1075.46,0.87823,0.0667002,2,3,0,1077.18,4.06907,1.37306,4.0168,3.06495,0.434384,0.565616
-1072.85,0.770875,0.0877624,4,31,0,1077.67,5.24525,1.0414,2.96907,2.80071,0.367506,0.632494
-1072.69,0.29341,0.0837732,4,21,0,1076.76,5.57104,1.05856,3.03984,2.4271,0.335083,0.664917
-1073.03,0.99985,0.0197561,5,31,0,1074.64,5.34544,1.07664,3.33752,2.46252,0.383715,0.616285
-1073.4,0.999156,0.0372379,5,63,0,1077.33,4.06256,-0.375173,3.35773,1.84253,0.68661,0.31339
-1072.18,0.968301,0.0693378,3,15,0,1073.93,3.70355,-0.0724304,3.35985,2.08596,0.625722,0.374278
-1072.18,4.65557e-11,0.117015,2,3,0,1076.91,3.70355,-0.0724304,3.35985,2.08596,0.625722,0.374278
-1073.28,0.9906,0.0126037,6,87,0,1074.45,3.78785,0.505773,3.3898,2.2068,0.678238,0.321762
-1071.34,0.967253,0.0227834,7,127,0,1076.25,4.55838,0.693772,3.44918,2.53695,0.490801,0.509199
-1071.57,0.994027,0.0382153,6,103,0,1071.99,5.16751,0.249257,3.11306,2.35587,0.48933,0.51067
-1071.76,0.996657,0.0684291,3,15,0,1072.79,4.72038,0.69885,3.41558,2.62402,0.419003,0.580997
-1072.13,0.396904,0.122229,3,15,0,1072.74,4.59292,0.791049,3.24292,2.52693,0.498689,0.501311
-1073.31,0.934178,0.0424145,5,63,0,1074.88,6.07872,0.39781,2.62689,2.547,0.336493,0.663507
-1073.7,0.939337,0.0636673,5,47,0,1076.58,3.21683,0.563949,3.88711,1.6461,0.771427,0.228573
-1073.7,0.0229853,0.096253,2,5,0,1077.96,3.21683,0.563949,3.88711,1.6461,0.771427,0.228573
-1074.27,0.999993,0.0127412,6,63,0,1074.94,2.93334,0.825551,3.61801,2.3958,0.715224,0.284776
-1073.75,0.994572,0.0227297,5,39,0,1077.48,3.34121,0.648745,3.77882,1.67367,0.76408,0.23592
-1073.15,0.964774,0.039611,6,79,0,1075.39,5.19756,0.891271,3.41792,2.54837,0.458144,0.541856
-1071.74,0.873638,0.0633466,3,7,0,1074.84,5.16618,0.817205,2.91786,2.45523,0.384445,0.615555
-1074.08,0.447298,0.0795738,3,11,0,1076.16,5.08332,0.382508,2.67319,2.56113,0.461123,0.538877
-1073.2,0.981391,0.0335958,6,67,0,1078.64,8.32961,1.68702,1.99972,2.77841,0.152312,0.847688
-1074.64,0.964032,0.0554841,3,15,0,1075.42,8.23841,1.71297,2.52944,2.90156,0.154988,0.845012
-1074.64,0.0306628,0.0870578,3,7,0,1077.81,8.23841,1.71297,2.52944,2.90156,0.154988,0.845012
-1075.75,0.99284,0.0132468,5,31,0,1077.33,8.18986,1.88064,2.62897,2.92281,0.150849,0.849151
-1073.06,0.997702,0.0223992,6,95,0,1079.41,7.09002,1.59996,2.76712,2.86571,0.194499,0.805501
-1071.72,0.934626,0.0380343,6,127,0,1075.74,5.18611,0.360677,2.93415,2.28914,0.39874,0.60126
-1074.35,0.620812,0.0549476,3,15,0,1077.46,5.15617,0.720544,2.99571,2.93016,0.384743,0.615257
-1072.82,0.975824,0.0369214,5,55,0,1076.67,6.70478,0.879778,2.58142,2.79139,0.265326,0.734674
-1072.41,0.974378,0.0585868,5,39,0,1074.16,7.20827,1.41947,2.58283,2.66022,0.192236,0.807764
-1073.38,0.23533,0.0920441,4,23,0,1075.8,6.74397,0.927743,2.436,2.77555,0.296771,0.703229
-1075.3,0.976692,0.0248802,4,15,0,1079.88,7.06086,1.07426,2.27185,2.72989,0.306329,0.693671
# Adaptation terminated
# Step size = 0.0437121
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1
-1076.38,0.957268,0.0437121,4,15,0,1077.36,7.07693,1.05023,2.15543,2.27332,0.303327,0.696673
-1076.35,1,0.0437121,4,15,0,1078.09,7.00449,0.698428,2.63348,2.37837,0.240608,0.759392
-1073.18,0.975987,0.0437121,4,15,0,1078.62,7.15976,1.48598,2.69017,2.82835,0.232865,0.767135
-1072.24,0.833951,0.0437121,6,79,0,1076.56,3.50992,0.0836299,3.44938,2.32396,0.705344,0.294656
-1071.15,0.985201,0.0437121,6,95,0,1073.82,6.795,0.999435,2.3359,2.5151,0.250184,0.749816
-1073.66,0.765505,0.0437121,3,7,0,1074.86,6.79866,1.01664,2.02314,2.64844,0.266031,0.733969
-1071.52,0.992924,0.0437121,3,7,0,1075.92,6.77425,1.19419,2.37668,2.50269,0.259785,0.740215
-1071.89,0.930195,0.0437121,3,15,0,1072.65,6.67765,1.25296,2.62325,2.53563,0.242251,0.757749
-1071.07,0.983967,0.0437121,3,15,0,1073.48,6.73197,1.17,2.51764,2.57757,0.265432,0.734568
-1072.03,0.94765,0.0437121,4,31,0,1072.76,6.61689,1.18861,2.31161,2.57795,0.282699,0.717301
-1072.31,0.997136,0.0437121,4,31,0,1073.04,6.33244,1.13867,2.97081,2.74851,0.240325,0.759675
