# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1074.02,0.979953,0.0416185,4,31,0,1075.85,1.16723,7.30416,2.70716,2.00655,0.739592,0.260408
-1073.04,0.951739,0.0676006,4,31,0,1077.15,1.24726,7.44601,2.66912,2.35316,0.834006,0.165994
-1072.83,0.339772,0.101721,1,3,0,1073.81,1.27312,7.40292,2.68043,2.47396,0.826904,0.173096
-1074.57,0.930766,0.0341956,5,51,0,1077.39,1.73048,8.31163,3.09633,1.7641,0.851087,0.148913
-1077.55,0.692943,0.0488434,3,11,0,1079.57,1.64665,8.21555,3.32035,2.4095,0.868595,0.131405
-1072.32,0.941384,0.0391709,6,71,0,1080.63,1.04838,5.15578,2.72026,3.22234,0.6003,0.3997
-1072.6,0.883307,0.0570326,5,63,0,1075.72,0.801705,6.84714,2.66513,2.36898,0.730838,0.269162
-1072.64,0.777844,0.0719691,3,15,0,1075.56,1.36516,6.96558,2.79939,2.19768,0.759394,0.240606
# Adaptation terminated
# Step size = 0.0513841
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1
-1071.86,0.945184,0.0513841,3,7,0,1073.55,1.31311,6.95879,2.77718,2.70903,0.784718,0.215282
-1072.09,0.879902,0.0513841,5,63,0,1078.18,0.814595,4.55829,2.42043,3.43179,0.493618,0.506382
-1071.82,0.985198,0.0513841,5,31,0,1073.59,0.179525,5.33091,2.23466,3.02732,0.546176,0.453824
-1074.3,0.880382,0.0513841,2,3,0,1074.81,0.142123,5.41053,2.1688,2.583,0.510213,0.489787
-1074.26,0.948473,0.0513841,3,15,0,1076.44,0.267694,5.21263,2.37257,3.3144,0.612161,0.387839
-1073.4,1,0.0513841,2,3,0,1074.66,0.287239,5.22531,2.44354,3.30483,0.600699,0.399301
-1073.62,0.963675,0.0513841,5,63,0,1075.1,1.08033,6.10318,2.39203,2.4397,0.666553,0.333447
-1072.94,0.640067,0.0513841,4,15,0,1078.64,0.889733,6.67699,2.43335,2.10559,0.714052,0.285948
-1070.87,0.510224,0.0513841,3,11,0,1078.37,1.03401,6.49027,2.59551,2.45107,0.729215,0.270785
-1071.33,0.922561,0.0513841,3,7,0,1073.03,1.16653,6.49703,2.56393,2.42386,0.735034,0.264966
-1071.29,0.694873,0.0513841,3,11,0,1074.28,1.03284,6.60374,2.56346,2.29813,0.724916,0.275084
-1071.43,0.99877,0.0513841,3,15,0,1071.7,1.07279,6.53144,2.65177,2.81717,0.713851,0.286149
-1072.07,0.951627,0.0513841,5,63,0,1076.16,0.239823,4.46671,2.43324,3.45082,0.421028,0.578972
-1071.88,0.961174,0.0513841,5,47,0,1073.3,0.150594,3.94176,2.01289,3.61968,0.373346,0.626654
-1074.59,0.916027,0.0513841,4,19,0,1075.53,0.618431,3.91253,1.98424,3.47232,0.444953,0.555047
-1072.83,0.992056,0.0513841,4,15,0,1076.48,0.454022,3.69824,2.5992,3.71364,0.3974,0.6026
-1071.67,0.965944,0.0513841,4,19,0,1075.61,0.167966,3.96255,2.11091,3.60425,0.398804,0.601196
-1072.22,0.883864,0.0513841,5,39,0,1074.76,0.345414,3.67493,1.89395,3.71712,0.320222,0.679778
-1073.08,0.819074,0.0513841,3,7,0,1074,0.132009,3.54491,2.47108,3.67938,0.349686,0.650314
-1073.01,0.952759,0.0513841,3,15,0,1076.41,0.27679,3.65628,2.55979,3.53407,0.314711,0.685289
-1076.63,0.716132,0.0513841,4,15,0,1078.64,0.683958,3.52453,1.56038,3.77387,0.352228,0.647772
-1073.21,0.985818,0.0513841,3,11,0,1077.9,0.773578,3.62533,2.01383,3.92876,0.365836,0.634164
-1072.55,0.904599,0.0513841,5,47,0,1075.1,0.0666567,3.33659,2.12931,3.74076,0.284359,0.715641
-1072.17,0.92546,0.0513841,5,47,0,1073.6,0.28185,3.60877,1.98628,3.43881,0.332599,0.667401
-1071.08,0.948842,0.0513841,6,71,0,1073.52,0.294939,4.97418,2.22525,3.10521,0.508329,0.491671
-1071.23,0.983904,0.0513841,4,15,0,1071.97,0.0700741,4.79064,2.29698,3.11272,0.495282,0.504718
-1073.23,0.808619,0.0513841,2,7,0,1074.11,0.194367,4.75836,2.30218,2.74357,0.487146,0.512854
-1072.01,1,0.0513841,3,15,0,1074.93,0.293769,4.78658,2.49542,3.31044,0.470886,0.529114
-1071.98,0.94017,0.0513841,4,19,0,1075.16,0.437675,4.65323,2.17008,3.39777,0.507171,0.492829
-1072.58,0.947082,0.0513841,5,63,0,1076.4,0.481646,5.5124,2.13907,2.81147,0.602546,0.397454
-1072.09,0.907171,0.0513841,3,11,0,1074.42,0.787007,5.45382,2.3476,3.18662,0.633728,0.366272
-1071.76,0.993028,0.0513841,6,71,0,1074.01,0.87761,6.00368,2.33885,2.76155,0.678701,0.321299
-1071.32,0.97606,0.0513841,4,15,0,1072.78,0.592237,5.93004,2.41316,2.522,0.644221,0.355779
-1071.49,0.933544,0.0513841,5,51,0,1073.26,0.836462,5.29115,2.40943,3.00419,0.617268,0.382732
-1071.18,0.915327,0.0513841,6,99,0,1073.14,1.16667,7.0591,2.62067,2.24418,0.756091,0.243909
-1071.92,0.951146,0.0513841,6,91,0,1072.9,0.958226,5.95145,2.69119,3.14741,0.696956,0.303044
-1071.87,0.935824,0.0513841,2,7,0,1073.39,1.00117,5.99866,2.55941,3.15316,0.674095,0.325905
-1073.42,0.812982,0.0513841,3,7,0,1074.59,1.08519,5.96382,2.45247,2.99145,0.730177,0.269823
-1073.97,0.870457,0.0513841,2,7,0,1075.42,1.0286,5.98445,2.97865,2.83145,0.699149,0.300851
-1070.95,0.977528,0.0513841,5,47,0,1076.31,0.28675,4.80707,2.37391,3.08578,0.492503,0.507497
-1070.83,0.98024,0.0513841,6,87,0,1072.31,0.585577,5.43433,2.46593,2.80112,0.608211,0.391789
-1070.65,0.971622,0.0513841,4,31,0,1071.82,0.57748,5.11402,2.43577,3.1142,0.564998,0.435002
