# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 7
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1196.54,1,0.03125,2,3,0,2133.22,0.490666,0.40956,0.691664,5.97136,0.374366,0.625634
-1196.54,0,14.3855,0,1,1,1198.6,0.490666,0.40956,0.691664,5.97136,0.374366,0.625634
-1196.54,0,2.43117,0,1,1,1198.97,0.490666,0.40956,0.691664,5.97136,0.374366,0.625634
-1196.54,0,0.239791,0,1,1,1200.43,0.490666,0.40956,0.691664,5.97136,0.374366,0.625634
-1126.21,1,0.0186273,4,15,0,1201.19,1.0525,0.668049,1.27315,4.0352,0.198947,0.801053
-1105.07,0.981263,0.0257257,4,15,0,1129.35,0.915026,1.18763,1.46782,3.91609,0.147294,0.852706
-1086.95,1,0.0381535,4,15,0,1107.57,1.36353,1.81844,1.7355,3.72629,0.147516,0.852484
-1085.15,0.41814,0.0648308,4,15,0,1091.62,1.92785,3.75838,3.02285,3.43212,0.308063,0.691937
-1084.03,0.999893,0.0185983,5,63,0,1087.05,2.04935,3.55126,3.18509,4.08818,0.300804,0.699196
-1078,0.983413,0.0339167,6,127,0,1092.88,3.78327,-0.663434,3.58768,1.64161,0.825124,0.174876
-1073.36,0.982597,0.0601004,5,31,0,1079.84,3.14085,-0.456498,3.59999,1.45428,0.823439,0.176561
-1074.39,0.372521,0.107618,1,3,0,1075.71,3.05392,-0.553709,3.57716,1.31519,0.800686,0.199314
-1075.08,0.998147,0.0283894,6,79,0,1076.17,3.10226,0.893733,3.85417,1.8912,0.631707,0.368293
-1074.19,0.921894,0.0542271,2,3,0,1075.4,3.10712,0.877475,3.80401,2.01833,0.636591,0.363409
-1076.22,0.337782,0.0816056,3,11,0,1078.59,3.24427,1.14622,3.54156,1.99891,0.674435,0.325565
-1076.5,0.989756,0.0200873,6,95,0,1079.85,3.34086,-0.364019,3.29847,1.27622,0.826933,0.173067
-1079.28,0.811996,0.0375988,3,15,0,1080.26,3.33107,-0.402835,3.17243,1.2466,0.828996,0.171004
-1077.41,0.99979,0.0406473,6,79,0,1083.98,4.47263,1.65056,3.49897,3.23205,0.222757,0.777243
-1073.01,0.573784,0.0777189,4,15,0,1082.76,4.72297,-0.00490805,2.93999,2.42801,0.478756,0.521244
-1073.64,0.986624,0.0409373,6,95,0,1077.4,5.76547,1.08746,3.00718,2.79821,0.244692,0.755308
