# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1074.4,0.8758,0.0649295,5,31,0,1080.53,0.938094,5.9678,2.32727,3.27095,0.666427,0.333573
-1073.45,0.864714,0.0812411,5,39,0,1076.47,-0.0336211,3.9577,2.09048,3.12183,0.432931,0.567069
-1073.05,0.741528,0.0985855,2,7,0,1076.91,0.356787,4.01622,2.20015,3.17002,0.455736,0.544264
-1073.67,0.694343,0.0883257,4,15,0,1075.01,0.289219,4.77648,2.57163,3.577,0.481779,0.518221
-1073.2,0.859282,0.0706847,5,39,0,1075.55,0.0899196,4.03269,2.49506,3.09585,0.40649,0.59351
-1074.21,0.559815,0.0843616,4,23,0,1080.18,0.899076,5.9131,2.90358,2.99827,0.646326,0.353674
-1071.48,0.782584,0.0491055,3,7,0,1077.57,0.966175,5.92077,2.64732,3.05046,0.700384,0.299616
-1075.29,0.737955,0.0488421,3,7,0,1078,0.653623,5.74813,2.76033,2.80027,0.727282,0.272718
# Adaptation terminated
# Step size = 0.0490109
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1
-1074.24,0.82682,0.0490109,3,7,0,1078.08,0.830616,5.77423,2.73233,2.65746,0.605824,0.394176
-1074.17,0.98958,0.0490109,2,3,0,1075.49,0.834502,5.78986,2.18679,2.78701,0.617072,0.382928
-1071.35,1,0.0490109,3,11,0,1074.7,0.761559,5.67765,2.59766,2.71136,0.63682,0.36318
-1073.52,0.877874,0.0490109,5,43,0,1075.86,1.09389,6.19493,2.73209,2.31852,0.709468,0.290532
-1074.2,0.992496,0.0490109,5,43,0,1075.27,0.389814,4.48699,2.35859,2.8101,0.504638,0.495362
-1073.97,1,0.0490109,4,23,0,1075,0.563764,4.87089,2.37591,2.72343,0.526563,0.473437
-1071.08,1,0.0490109,2,3,0,1073.97,0.558835,4.86297,2.35512,3.24448,0.514935,0.485065
-1074.8,0.788976,0.0490109,5,63,0,1078.55,1.18976,6.76197,2.80508,2.1355,0.71887,0.28113
-1077.49,0.852334,0.0490109,3,7,0,1078.18,1.19419,6.70768,2.91246,2.06398,0.717343,0.282657
