# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1508.06,1,0.015625,1,1,0,4018.63,-1.75293,2.11247,0.955978,1.64985,0.521298,0.478702
-1508.06,0,14.3855,0,1,1,1510.5,-1.75293,2.11247,0.955978,1.64985,0.521298,0.478702
-1508.06,0,2.43117,0,1,1,1509.6,-1.75293,2.11247,0.955978,1.64985,0.521298,0.478702
-1508.06,0,0.239791,0,1,1,1509.95,-1.75293,2.11247,0.955978,1.64985,0.521298,0.478702
-1211.5,1,0.0186273,2,3,0,1479.87,-1.79749,2.25593,1.05027,2.81252,0.509218,0.490782
-1174.69,1,0.0257257,3,7,0,1210.19,-1.75467,2.30034,1.16936,3.2492,0.479885,0.520115
-1166.79,1,0.0404064,1,1,0,1175.39,-1.72623,2.34504,1.21621,3.41578,0.475311,0.524689
-1142.74,1,0.0687243,1,1,0,1165.24,-1.67461,2.33527,1.40508,3.37248,0.428042,0.571958
-1102.28,1,0.122801,1,1,0,1132.78,-1.54415,2.68844,1.88159,3.51736,0.345402,0.654598
-1102.28,3.25413e-104,0.226075,1,2,1,1104.06,-1.54415,2.68844,1.88159,3.51736,0.345402,0.654598
-1083.35,0.999554,0.0179176,5,31,0,1103.61,-1.1776,2.89153,1.87051,3.26966,0.272454,0.727546
-1081.41,0.993004,0.0338957,3,7,0,1084.6,-1.17999,3.02377,1.7539,3.41321,0.272238,0.727762
-1075.33,1,0.0633205,2,3,0,1081.29,-0.959791,3.23756,1.91123,3.35644,0.236441,0.763559
-1076.84,0.137211,0.121224,2,4,1,1079.74,-0.958198,3.50918,2.4018,3.43011,0.22377,0.77623
-1076.02,0.982985,0.0157251,5,63,0,1079.25,-0.859551,3.38186,2.39053,3.39768,0.218766,0.781234
-1074.72,0.999704,0.0288734,5,63,0,1078.97,-0.758563,3.14165,1.78177,3.50553,0.145641,0.854359
-1074.42,0.655399,0.0555842,3,15,0,1078.14,-0.417129,3.34097,1.36322,3.62959,0.160494,0.839506
-1076.28,0.895234,0.0371399,4,31,0,1079.34,-0.145966,2.99936,0.967514,3.60628,0.170653,0.829347
-1075.07,0.764163,0.0517647,5,47,0,1079.26,1.00958,2.77757,1.719,3.82058,0.235063,0.764937
-1074.95,0.820744,0.0484833,4,31,0,1078.02,0.863725,3.40722,2.54761,3.46192,0.279908,0.720092
-1073.14,0.779365,0.0538862,3,15,0,1076.75,0.726005,3.47426,2.10401,3.69738,0.274683,0.725317
-1073.58,0.960119,0.0529598,4,15,0,1074.66,0.788917,2.97433,1.98785,3.86764,0.257112,0.742888
-1072.32,0.37586,0.0885194,3,15,0,1074.32,0.35548,3.34457,1.90063,3.54583,0.265774,0.734226
-1072.41,0.99268,0.0268605,6,63,0,1074.6,-0.0205522,3.50844,1.77769,3.44728,0.288504,0.711496
-1072.34,0.874479,0.0492272,5,31,0,1075.41,0.142805,3.39475,1.70478,3.59993,0.282908,0.717092
-1070.86,0.965288,0.0637279,6,71,0,1072.8,0.955954,6.53251,2.48803,2.45264,0.719138,0.280862
-1070.86,0.014641,0.106266,2,5,0,1074.68,0.955954,6.53251,2.48803,2.45264,0.719138,0.280862
-1071.53,0.995488,0.0121663,5,31,0,1072.58,0.808857,6.64747,2.52761,2.61982,0.718552,0.281448
-1070.76,0.995925,0.0221938,5,63,0,1072.51,0.98893,6.31709,2.58962,2.69572,0.702071,0.297929
-1071.24,0.981865,0.0401321,6,111,0,1072.98,0.18841,4.61632,2.35118,3.02422,0.492435,0.507565
-1071.79,0.805719,0.0691455,2,3,0,1072.73,0.132368,4.58086,2.14062,3.07716,0.498828,0.501172
-1073.48,0.797043,0.0731745,4,31,0,1074.43,-0.0114654,3.90708,2.3958,3.65129,0.41652,0.58348
-1072.6,0.914862,0.0755771,3,11,0,1075.22,0.38148,3.83068,1.99673,3.82418,0.369493,0.630507
-1072.62,0.27574,0.106877,2,7,0,1073.96,0.407005,3.92696,2.20718,3.2753,0.371515,0.628485
-1072.35,0.93809,0.027622,2,7,0,1075.52,0.408027,3.93166,2.15432,3.78822,0.361384,0.638616
-1072.12,1,0.0416176,3,7,0,1072.55,0.427024,3.89365,2.29648,3.36255,0.361457,0.638543
-1071.12,0.977138,0.0732123,6,79,0,1076.03,0.941076,6.32416,2.62172,2.83736,0.709248,0.290752
-1071.12,8.94209e-05,0.120314,1,3,0,1076.2,0.941076,6.32416,2.62172,2.83736,0.709248,0.290752
